rank_alphabetical_continuing_from_first_100,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,sales_price_growth_pct_yoy,rental_price_growth_pct_yoy,source_url,data_status,notes
265,Piara Waters,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/piara-waters/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
266,Pickering Brook,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/pickering-brook/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
267,Piesse Brook,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/piesse-brook/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
268,Pinjar,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/pinjar/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
269,Port Kennedy,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/port-kennedy/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
270,Postans,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/postans/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
271,Queens Park,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/queens-park/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
272,Quinns Rocks,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/quinns-rocks/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
273,Red Hill,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/red-hill/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
274,Redcliffe,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/redcliffe/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
275,Reservoir,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/reservoir/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
276,Ridgewood,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/ridgewood/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
277,Riverton,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/riverton/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
278,Rivervale,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/rivervale/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
279,Rockingham,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/rockingham/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
280,Roleystone,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/roleystone/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
281,Rottnest Island,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/rottnest-island/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
282,Rossmoyne,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/rossmoyne/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
283,Safety Bay,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/safety-bay/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
284,Salter Point,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/salter-point/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
285,Samson,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/samson/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
286,Sawyers Valley,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/sawyers-valley/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
287,Scarborough,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/scarborough/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
288,Secret Harbour,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/secret-harbour/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
289,Serpentine,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/serpentine/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
290,Seville Grove,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/seville-grove/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
291,Shelley,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/shelley/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
292,Shenton Park,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/shenton-park/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
293,Shoalwater,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/shoalwater/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
294,Sinagra,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/sinagra/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
295,Singleton,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/singleton/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
296,Sorrento,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/sorrento/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
297,South Fremantle,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/south-fremantle/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
298,South Guildford,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/south-guildford/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
299,South Lake,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/south-lake/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
300,South Perth,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/south-perth/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
301,Southern River,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/southern-river/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
302,Spearwood,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/spearwood/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
303,St James,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/st-james/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
304,Stirling,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/stirling/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
305,Stoneville,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/stoneville/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
306,Stratton,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/stratton/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
307,Subiaco,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/subiaco/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
308,Success,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/success/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
309,Swan View,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/swan-view/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
310,Swanbourne,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/swanbourne/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
311,Tamala Park,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/tamala-park/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
312,Tapping,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/tapping/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
313,The Lakes,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/the-lakes/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
314,The Spectacles,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/the-spectacles/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
315,The Vines,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/the-vines/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
316,Thornlie,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/thornlie/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
317,Treeby,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/treeby/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
318,Trigg,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/trigg/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
319,Tuart Hill,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/tuart-hill/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
320,Two Rocks,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/two-rocks/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
321,Upper Swan,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/upper-swan/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
322,Victoria Park,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/victoria-park/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
323,Viveash,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/viveash/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
324,Waikiki,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/waikiki/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
325,Walliston,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/walliston/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
326,Wandi,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wandi/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
327,Wangara,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wangara/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
328,Wanneroo,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wanneroo/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
329,Warnbro,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/warnbro/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
330,Warwick,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/warwick/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
331,Waterford,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/waterford/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
332,Watermans Bay,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/watermans-bay/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
333,Wattle Grove,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wattle-grove/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
334,Wattleup,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wattleup/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
335,Wellard,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wellard/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
336,Welshpool,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/welshpool/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
337,Wembley Downs,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wembley-downs/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
338,Wembley,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wembley/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
339,West Leederville,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/west-leederville/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
340,West Perth,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/west-perth/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
341,West Swan,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/west-swan/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
342,Westminster,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/westminster/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
343,Whitby,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/whitby/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
344,White Gum Valley,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/white-gum-valley/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
345,Whiteman,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/whiteman/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
346,Willagee,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/willagee/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
347,Willetton,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/willetton/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
348,Wilson,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wilson/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
349,Winthrop,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/winthrop/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
350,Woodbridge,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/woodbridge/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
351,Woodlands,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/woodlands/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
352,Woodvale,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/woodvale/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
353,Wooroloo,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wooroloo/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
354,Wungong,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/wungong/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
355,Yanchep,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/yanchep/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
356,Yangebup,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/yangebup/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
357,Yokine,N/A,N/A,N/A,N/A,N/A,https://reiwa.com.au/suburb/yokine/,not_fetched_this_run,Row included from Perth suburb list; REIWA house market values not yet verified in this partial file.
